"Created on","2026-06-07 14:11:13"
"Created with","Scrutiny V0.12.1"
"Device ID","d6fc71528a231663b87e7b30bcac7d95"
"Firmware ID","d6fc71528a231663b87e7b30bcac7d95"
"Project name","NanoGaN-SW V0.1"

"","","var:/global/fDcVoltage","var:/global/uDTC/uDTC[0]","var:/global/uDTC/uDTC[1]","var:/global/uDTC/uDTC[2]","var:/global/fCurrent/fCurrent[0]","var:/global/fCurrent/fCurrent[1]","var:/global/fCurrent/fCurrent[2]",""
"Datetime","Time [s]","fDcVoltage","uDTC[0]","uDTC[1]","uDTC[2]","fCurrent[0]","fCurrent[1]","fCurrent[2]","New Values"
"2026-06-07 14:10:49",0.00095,12.440505981445312,1374.0,1492.0,1255.0,-0.05859375,0.76171875,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00096,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00097,12.47088623046875,1374.0,1492.0,1255.0,-0.0,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00098,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.78125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00099,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.001,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00101,12.440505981445312,1374.0,1492.0,1255.0,-0.0,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00102,12.47088623046875,1374.0,1492.0,1255.0,-0.0,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00103,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00104,12.455696105957031,1374.0,1492.0,1255.0,0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
